sms,label,sms_arabic
go jurong point crazi avail bugi n great world la e buffet cine got amor wat,0,الذهاب جورونج نقطة مجنون الاستفادة بوجي ن العالم العظيم لا بوفيه سينما حصلت على أمور وات
ok lar joke wif u oni,0,طيب نكتة لار wif u oni
free entri 2 wkli comp win fa cup final tkts 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18,1,دخول مجاني 2 wkli comp win كأس الاتحاد النهائي tkts 21st May 2005 text fa 87121 Receiv entri questionstd txt ratetc appli 08452810075over18
u dun say earli hor u c alreadi say,0,ش دون أن أقول في وقت مبكر هور uc alreadi
nah dont think goe usf live around though,0,ناه لا أعتقد أن جو أوسف العيش حول رغم ذلك
freemsg hey darl 3 week word back id like fun still tb ok xxx std chgs send 150 rcv,1,freemsg hey darl 3 week word back id like fun still tb ok xxx std chgs send 150 rcv
even brother like speak treat like aid patent,0,حتى أخي مثل الكلام يعامل مثل براءة اختراع المساعدة
per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,0,لكل طلب mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copy friend callertun
winner valu network custom select receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,1,الفائز بالشبكة القيمة المحددة استلام مخصص 900 جائزة المطالبة بمكافأة الاتصال 09061701461 كود التعريف kl341 صالح لمدة 12 ساعة
mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,1,موبيل 11 شهرًا محدثًا أحدث كاميرا موبيل ملونة مجانية للاتصال بشركة موبيل أوبدات مجانية 08002986030
im gonna home soon dont want talk stuff anymor tonight k ive cri enough today,0,سأعود للمنزل قريبًا لا أريد التحدث عن الأشياء في أي مكان الليلة
six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info,1,six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info
urgent 1 week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,1,عاجل لمدة أسبوع عضوية مجانية 100000 جائزة Jackpot txt word Claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18
ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,0,البحث بالكلمة الصحيحة ، شكرًا لك على الوعد ، لن تأخذ المساعدة في منح الوفاء بالوعود ، وبارك الله في الوقت المناسب
date sunday,0,تاريخ الاحد
